date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:12:27	455117/455117	---M-Z	200	added ('OK')	text/html	etag:%226f1cd-66d2c6ac-333cc418258a82f1;gz%22	https://ethemestudio.com/demo/procv/01_ai_expert/index.html	D:/template/ProCv/ethemestudio.com/demo/procv/01_ai_expert/index.html	(from )
18:12:27	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-663b73f7-c3bdd0a71f792845;gz%22	https://ethemestudio.com/robots.txt		(from )
18:12:28	2130/2130	---M--	200	added ('OK')	image/png	etag:%22852-66d2c6bc-dcfc289ac51586d;;;%22	https://ethemestudio.com/demo/procv/01_ai_expert/images/logo/favicon.png	D:/template/ProCv/ethemestudio.com/demo/procv/01_ai_expert/images/logo/favicon.png	(from https://ethemestudio.com/demo/procv/01_ai_expert/index.html)
18:12:28	174243/174243	---M-Z	200	added ('OK')	text/css	etag:%222a8a3-66d2c6e5-acd5fb733c32541;gz%22	https://ethemestudio.com/demo/procv/01_ai_expert/css/fontawesome-all.min.css	D:/template/ProCv/ethemestudio.com/demo/procv/01_ai_expert/css/fontawesome-all.min.css	(from https://ethemestudio.com/demo/procv/01_ai_expert/index.html)
18:12:29	189431/189431	---M-Z	200	added ('OK')	text/css	etag:%222e3f7-66d2c6e4-8e9c8b5f76abd8a8;gz%22	https://ethemestudio.com/demo/procv/01_ai_expert/css/bootstrap.min.css	D:/template/ProCv/ethemestudio.com/demo/procv/01_ai_expert/css/bootstrap.min.css	(from https://ethemestudio.com/demo/procv/01_ai_expert/index.html)
18:12:29	3969/3969	---M-Z	200	added ('OK')	text/css	etag:%22f81-66d2c6e5-7ff90a0cfe3690e3;gz%22	https://ethemestudio.com/demo/procv/01_ai_expert/css/flaticon.css	D:/template/ProCv/ethemestudio.com/demo/procv/01_ai_expert/css/flaticon.css	(from https://ethemestudio.com/demo/procv/01_ai_expert/index.html)
18:12:29	12553/12553	---M-Z	200	added ('OK')	text/css	etag:%223109-66d2c6e3-db7bdd96693a660d;gz%22	https://ethemestudio.com/demo/procv/01_ai_expert/css/all-animations.css	D:/template/ProCv/ethemestudio.com/demo/procv/01_ai_expert/css/all-animations.css	(from https://ethemestudio.com/demo/procv/01_ai_expert/index.html)
18:12:29	773/773	---M-Z	200	added ('OK')	text/css	etag:%22305-66d2c6e6-ed18782dab0b824d;gz%22	https://ethemestudio.com/demo/procv/01_ai_expert/css/reset.min.css	D:/template/ProCv/ethemestudio.com/demo/procv/01_ai_expert/css/reset.min.css	(from https://ethemestudio.com/demo/procv/01_ai_expert/index.html)
18:12:30	14272/14272	---M-Z	200	added ('OK')	text/css	etag:%2237c0-66d2c6e5-48af72615c4c6b0a;gz%22	https://ethemestudio.com/demo/procv/01_ai_expert/css/leaflet.css	D:/template/ProCv/ethemestudio.com/demo/procv/01_ai_expert/css/leaflet.css	(from https://ethemestudio.com/demo/procv/01_ai_expert/index.html)
18:12:30	17743/17743	---M-Z	200	added ('OK')	text/css	etag:%22454f-66d2c6e4-d23c75723538b179;gz%22	https://ethemestudio.com/demo/procv/01_ai_expert/css/default.css	D:/template/ProCv/ethemestudio.com/demo/procv/01_ai_expert/css/default.css	(from https://ethemestudio.com/demo/procv/01_ai_expert/index.html)
